municipality,state,city
Hyder CDP,AK,Hyder
Igiugig CDP,AK,Igiugig
Iliamna CDP,AK,Iliamna
Ivanof Bay CDP,AK,Ivanof Bay
Juneau city and borough,AK,Juneau city and
Kachemak city,AK,Kachemak
Kake city,AK,Kake
Kaktovik city,AK,Kaktovik
Kalifornsky CDP,AK,Kalifornsky
Kaltag city,AK,Kaltag
Karluk CDP,AK,Karluk
Kasaan city,AK,Kasaan
Kasigluk CDP,AK,Kasigluk
Kasilof CDP,AK,Kasilof
Kenai city,AK,Kenai
Kenny Lake CDP,AK,Kenny Lake
Ketchikan city,AK,Ketchikan
Kiana city,AK,Kiana
King Cove city,AK,King Cove
King Salmon CDP,AK,King Salmon
Kipnuk CDP,AK,Kipnuk
Kivalina city,AK,Kivalina
Klawock city,AK,Klawock
Klukwan CDP,AK,Klukwan
Knik-Fairview CDP,AK,Knik-Fairview
Knik River CDP,AK,Knik River
Kobuk city,AK,Kobuk
Kodiak city,AK,Kodiak
Kodiak Station CDP,AK,Kodiak Station
Kokhanok CDP,AK,Kokhanok
Koliganek CDP,AK,Koliganek
Kongiganak CDP,AK,Kongiganak
Kotlik city,AK,Kotlik
Kotzebue city,AK,Kotzebue
Koyuk city,AK,Koyuk
Koyukuk city,AK,Koyukuk
Kupreanof city,AK,Kupreanof
Kwethluk city,AK,Kwethluk
Kwigillingok CDP,AK,Kwigillingok
Lake Louise CDP,AK,Lake Louise
Lake Minchumina CDP,AK,Lake Minchumina
Larsen Bay city,AK,Larsen Bay
Lazy Mountain CDP,AK,Lazy Mountain
Levelock CDP,AK,Levelock
Lime Village CDP,AK,Lime Village
Livengood CDP,AK,Livengood
Loring CDP,AK,Loring
Lowell Point CDP,AK,Lowell Point
Lower Kalskag city,AK,Lower Kalskag
Lutak CDP,AK,Lutak
McCarthy CDP,AK,McCarthy
McGrath city,AK,McGrath
Manley Hot Springs CDP,AK,Manley Hot Springs
Manokotak city,AK,Manokotak
Marshall city,AK,Marshall
Meadow Lakes CDP,AK,Meadow Lakes
Mekoryuk city,AK,Mekoryuk
Mendeltna CDP,AK,Mendeltna
Mentasta Lake CDP,AK,Mentasta Lake
Mertarvik CDP,AK,Mertarvik
Metlakatla CDP,AK,Metlakatla
Mill Bay CDP,AK,Mill Bay
Minto CDP,AK,Minto
Moose Creek CDP,AK,Moose Creek
Moose Pass CDP,AK,Moose Pass
Mosquito Lake CDP,AK,Mosquito Lake
Mountain Village city,AK,Mountain Village
